external_video_id,estimated_view_count,date,title,players,decade,agg_view_count,video_ids,video_titles,video_counts,num_videos,id,video_custom,title_custom,type,team,start
VEcqGZ9hNx4,1232950,20120401,Russell Westbrook Poster Dunk on Omer Asik - Bulls @ Thunder 4/1/2012,"Russell Westbrook,Ömer Aşık",2010,1436393,8UGWbWdDCsQ|rl-DCg_zZVo|SDK0I0qQF0g|iqX2NMMFbpo,Russell Westbrook & Kevin Durant Link For Halfcourt Alley-Oop - Bulls @ Thunder 4/1/2012|Russell Westbrook dunks on Omer Asik (w/ replays)|Russell Westbrook dunks on Omer Asik: Bulls vs. Thunder (4.1.12)|Russell Westbrook POSTERIZES Omer Asik vs Bulls (2012.04.01).mpeg,151883|19486|19215|12859,4,20120401-Russell Westbrook,,Westbrook posterizes Omer Asik,,okc,
TJrgpJUWRmU,674000,20160509,Stephen Curry #I'M BACK! ( 40 PTS ) VS Blazers (5-9-2016),Stephen Curry,2010,1417093,EV4BNpa71VA|B2Kh8WW2vqE|KTN1Mnn8kqU|7BnPNRCp1Js|WbJT0MB7QMw|zqovZGfbyJU|rERd0shksa8,"Golden State Warriors vs Portland Trail Blazers - May 9, 2016|Stephen Curry sets the NBA overtime scoring record with 17 points (5/9/16)|[Playoffs Ep. 18/15-16] Inside The NBA (on TNT) Full Episode – Curry Returns, 40 Points in OT Win|Warriors vs Trail Blazers #Iam Back! Steph Curry Go's INSANE! 17PTS OVERTIME God bless 5-9-16|[Playoffs Ep. 18/15-16] Inside The NBA (on TNT) Halftime– Warriors vs. Portland, Game 4 – 5-9-16|Stephen Curry #I'M BACK!  40 PTS  VS Blazers 5 9 2016|Stephen Curry 40 Pts! 17 in OT! off the bench! @ Blazers 5.9.16 HD PLAYOFFS",390218|174365|105871|34035|15073|12046|11485,7,20160509-Stephen Curry,,Curry sets OT record with 17 points,,gsw,
ikc-uM_Ekkc,1392153,20110306,Derrick Rose schools Lebron and Wade (2011.03.06),"Dwyane Wade,Derrick Rose,LeBron James",2010,1412300,h7U2BU3P_sk,Dwyane Wade big block on Carlos Boozer (2011.03.06),20147,1,20110306-Dwyane Wade,,Derrick Rose schools LeBron and Wade,,mia|chi,
rankc8FgUVk,1408970,20110409,"Ty Lawson hits 10 three pointers in a row  vs TImberwolves (Apr 9, 2011)",Ty Lawson,2010,1408970,,,,0,20110409-Ty Lawson,,Ty Lawson hits 10 3s in a row,,min|den,
6-MrcSvNP0M,532605,20150604,Stephen Curry vs Kyrie Irving G1 Finals Duel Highlights Warriors vs Cavaliers (2015.06.04) - EPIC!,"Stephen Curry,Kyrie Irving",2010,1378516,Cesay6mF5uk|ei_4e5VT1GE|GOL0Q4Y-8mM,"Stephen Curry vs LeBron James G1 Finals Battle Highlights Warriors vs Cavaliers (2015.06.04) - EPIC!|Kyrie Irving vs Stephen Curry Full Duel in 2015 NBA Finals Game1 - 49 Pts, 14 Dimes Combined!|Frustrated Kyrie Irving with Knee Injury | June 4, 2015",460113|276423|109375,3,20150604-Stephen Curry,,"Curry vs. Kyrie in Finals, game 1",,gsw|cle,
Bw5MaUkw-ko,1369791,20131204,Golden State Warriors' 27 point comeback vs Raptors (2013.12.04),Stephen Curry,2010,1369791,,,,0,20131204-Stephen Curry,,Warriors 27 point comeback vs. the Raptors,,gsw|tor,
hIvgFMjeaGk,1025500,20120211,[HD] NBA 2012-02-11 尼克 VS 湖人 林書豪 Linsanity 得38分 打爆湖人,"Kobe Bryant,Jeremy Lin",2010,1342513,7UE1txeIZ5w|7ljLdGGdqhw|V-003CfCpYU|Pf53pTMGH60|TDev-F8NR6k,The Jeremy Lin Show Vs. Minnesota Timberwolves (2/11/12)|林書豪 超帥360度轉身上籃 ( 湖人 vs 尼克 ) Jeremy Lin 2012/02/11|Jeremy Lin 38pts Spin Move Vs Lakers 2012.2.10 林書豪對湖人隊取得38分 轉身上籃|[HD] NBA 2012-02-12 尼克 VS 灰狼 林書豪苦戰灰狼 Jeremy Lin 逆轉勝 Linsanity|Jeremy Lin Finds Steve Novak Open For 3 to Tie the Game Against the Timberwolves. 2/11/12,156992|84845|37562|20467|17147,5,20120211-Kobe Bryant,,Linsanity continues vs. the Timberwolves,,min,
KoRCSwaRHkg,940735,20130510,"Nazr Mohammed Pushes Down LeBron James (Heat vs. Bulls) May 10, 2013","LeBron James,Nazr Mohammed",2010,1340974,1OkCKMksZOo|5CpNlGHJKvE|fFnZYRlYPp0,HD FULL VERSION LeBron James shoved down by Nazr Mohammed 2013 NBA Playoffs ECS Gm3 Heat at Bulls|LeBron James Fight VS Nazr Mohammed (Chicago Bulls vs. Miami Heat) May 10 2013 (NBA)|Nate Robinson rejects Lebron (2013 NBA Playoffs CSF GM3),365276|24199|10764,3,20130510-LeBron James,,Nazr Mohammed shoves LeBron,,mia|chi,
WtIduoOib0Y,1331033,20100106,Rajon Rondo Alley Oop Sent To Overtime,Rajon Rondo,2010,1331033,,,,0,20100106-Rajon Rondo,,Rajon Rondo alley-oop to force OT,,bos|mia,
yh8dDEznDO8,1063554,20120325,Dwyane Wade Gives Kendrick Perkins Death Stare Down After Being Kicked [3.25.2012],"Dwyane Wade,Kendrick Perkins",2010,1319624,JF-BrwRq_9o|5aMU0d4q2Wg,Dwyane Wade Drains 65 Footer To End 3QT - Heat @ Thunder 3/25/2012|Dwayne Wade Double Dribble/Travel Against Thunder 3/25/12,233968|22102,2,20120325-Dwyane Wade,,Dwyane Wade drains 65-footer,,mia,
