external_video_id,estimated_view_count,date,title,players,decade,agg_view_count,video_ids,video_titles,video_counts,num_videos,id,annotation
_VZAVMzDDxQ,45082,19881109,Michael Jordan 52 Points & 9 Steals vs Boston Celtics! Amazing Moves & Dunks & Game Winner!,Michael Jordan,1980,76266,YHdEBsDZ7_A,NBA Record - Most Steals (8) in a Half - Michael Jordan,31184,1,19881109-Michael Jordan
LvLbHwncEw0,74385,19880323,Michael Jordan ''Get Out of my Way!'' Dunk over Charles Barkley!,"Charles Barkley,Michael Jordan",1980,74385,,,,0,19880323-Charles Barkley
mktzcOPZPic,44405,19851026,Michael Jordan | 1985-86 The Game Before Injury vs Pistons! Great 4th Qtr & Both Coaches Ejected!,Michael Jordan,1980,74003,IPHk7n_lXIM,Bill Laimbeer Floors Michael Jordan For The First Time & Coaches Goes Berserk!,29598,1,19851026-Michael Jordan
nAZ7ON5kaCQ,46115,19891115,Michael Jordan Sick Dunk Attempt on 7-4 Mark Eaton! (Bulls vs Jazz 1989),"Mark Eaton,Michael Jordan",1980,69643,-OeOilBBXu4,Karl Malone Elbows Michael Jordan! Bulls vs Jazz 1989 - Awesome Ending!,23528,1,19891115-Mark Eaton
B-U86VQSFHc,68913,19841225,Bernard King (60pts/5asts) vs. Nets (1984),Bernard King,1980,68913,,,,0,19841225-Bernard King
3D5x0Ve4pUk,67328,19870510,The Sleepy Floyd Game,Sleepy Floyd,1980,67328,,,,0,19870510-Sleepy Floyd
QcruaSZvIlo,39187,19871107,"Johnny Most Calls the End of Celtics-Bullets Double Overtime Game on Nov 7, 1987",Larry Bird,1980,62077,gdvwbVseiD4,Larry Bird caps a 47 point night with two clutch threes,22890,1,19871107-Larry Bird
CkhXEFNCRrc,61440,19880404,"Michael Jordan 59 Points vs Detroit Pistons - Unconcious Shooting ! (April 4, 1988)",Michael Jordan,1980,61440,,,,0,19880404-Michael Jordan
lmOZmnTgtOs,61356,19870108,Bulls vs. Blazers: 1986-1987.  Jordan 53 points,Michael Jordan,1980,61356,,,,0,19870108-Michael Jordan
PzWF_dBNjJU,39214,19880219,Dominique Wilkins (38pts) & Doc Rivers (15pts/15asts) vs. Lakers (1988),"Dominique Wilkins,Doc Rivers",1980,60887,VqnHGZHbY3Q,Magic Johnson (29pts/11rebs/19asts) & James Worthy (38pts) vs. Hawks (1988),21673,1,19880219-Dominique Wilkins
V41lN-ou7FY,55002,19851020,Bill Laimbeer Very Hard Foul to Michael Jordan and Then... (Chuck Daly vs Stan Albeck),"Michael Jordan,Chuck Daly,Stan Albeck,Bill Laimbeer",1980,55002,,,,0,19851020-Michael Jordan
c17tGKO40rs,53100,19880619,Detroit Pistons | Isiah Thomas Scores 25 in the 3rd vs Lakers - 1988 Playoffs,Isiah Thomas,1980,53100,,,,0,19880619-Isiah Thomas
wlbIWqqiizI,29662,19861121,Michael Jordan - 18 Points in a Row & Game Winner in Last 6 Mins.,Michael Jordan,1980,50942,eqXsk_dTr2c,11-21-1986 Chicago Bulls vs New York Knicks,21280,1,19861121-Michael Jordan
Xb1qk9l1fe8,23785,19841230,Is LeBron James The Greatest Loser In The NBA?,LeBron James,1980,50122,TWJLABbYw9E|mvbUedt4p8I,"Greatest Lebron James Mix - BLESSINGS | FULL HD 60p|LeBron James - Be a King, MVP (Mix of his 2012-13 NBA Season) HD",14866|11471,2,19841230-LeBron James
UAh5iehk0hc,49957,19850604,"1985 NBA Finals, Gm 4: Larry Bird Dominates The 4th Quarter",Larry Bird,1980,49957,,,,0,19850604-Larry Bird
a2M3F8NlmG0,48052,19820530,Julius Erving dunks over Kareem Abdul-Jabbar,"Kareem Abdul-Jabbar,Julius Erving",1980,48052,,,,0,19820530-Kareem Abdul-Jabbar
AKU2u1Aj96w,45038,19890523,Michael Jordan Dunks on Bill Laimbeer From Near the Free Throw Line,"Bill Laimbeer,Michael Jordan",1980,45038,,,,0,19890523-Bill Laimbeer
xta_O4iqpTk,43687,19820327,"Michael Jordan - 18 pts v Houston, Final Four 1982",Michael Jordan,1980,43687,,,,0,19820327-Michael Jordan
n6ocu50urPo,24574,19861203,MICHAEL JORDAN: 45 pts vs Utah Jazz (1986.12.03) HD,Michael Jordan,1980,42941,rk9Zx_fSd6o,"Michael Jordan 45pts, 6stl (1986.12.3)",18367,1,19861203-Michael Jordan
3OZcx2CrTpI,42778,19890301,Allen Iverson 46pts vs Chris Webber Kings MVP 00/01 NBA,"Chris Webber,Allen Iverson",1980,42778,,,,0,19890301-Chris Webber
6LnES_kkHgY,42179,19831213,Isiah Thomas (47pts/17asts) vs. Nuggets (1983),Isiah Thomas,1980,42179,,,,0,19831213-Isiah Thomas
rO0nB7_bVIY,42074,19871202,Michael Jordan 47 pts vs. Jazz - Amazing Dunk over Mel Turpin - 1987,"Michael Jordan,Melvin Turpin",1980,42074,,,,0,19871202-Michael Jordan
krYBPN_0HXw,40666,19870609,Chick Hearn's call of Baby Hook (2 of 2),Chick Hearn,1980,40666,,,,0,19870609-Chick Hearn
qasG-P9TnpU,40302,19890502,Manute Bol Makes a Clutch Playoffs Three,Manute Bol,1980,40302,,,,0,19890502-Manute Bol
UkSKRRAr4hE,40073,19860218,Alvin Robertson Notches a Quadruple-Double,Alvin Robertson,1980,40073,,,,0,19860218-Alvin Robertson
VUGfFKY0VXQ,39882,19880212,Larry Bird beats Dallas in the last seconds with a long three,Larry Bird,1980,39882,,,,0,19880212-Larry Bird
RpFyD3Eibbs,39703,19880501,"Michael Jordan, back-to-back 50 point games",Michael Jordan,1980,39703,,,,0,19880501-Michael Jordan
WIOvcpY7jIA,39163,19861103,Michael Jordan vs Karl Malone Dunking Duel (11.3.1986),"Karl Malone,Michael Jordan",1980,39163,,,,0,19861103-Karl Malone
HeoMSFqWhOY,38107,19850212,"Michael Jordan 49 pts vs. Pistons - ""Freeze-Out Revenge"" Game - 1985","Michael Jordan,Isiah Thomas",1980,38107,,,,0,19850212-Michael Jordan
ihscgOuMSUo,37833,19881229,Bulls vs. Knicks 1988-89. Jordan 37pts/9rbs,Michael Jordan,1980,37833,,,,0,19881229-Michael Jordan
sS4ndgaNT4w,35375,19880219,Spud Webb (6pts/11asts) vs. Lakers (1988),Spud Webb,1980,35375,,,,0,19880219-Spud Webb
OEMbEanJdXc,34994,19810503,"Larry Bird (23pt, 11reb, 5ast, 5stl, 3blk) vs 76ers 1981, Game 7 (Best Quality)",Larry Bird,1980,34994,,,,0,19810503-Larry Bird
zBrc11rTjsQ,34640,19870604,"The Prudential Halftime Report June 4, 1987 - Isiah Thomas scandal",Isiah Thomas,1980,34640,,,,0,19870604-Isiah Thomas
3qJiBVc4OT8,34032,19890218,Dennis Rodman (32pts/21rebs/3blks) vs. Warriors (1989),"Dennis Rodman,Isiah Thomas",1980,34032,,,,0,19890218-Dennis Rodman
aDk9y0Vul5A,33080,19810505,Larry Bird - 18/21/9 (1981 Finals - Game 1),Larry Bird,1980,33080,,,,0,19810505-Larry Bird
oYmOLDjCTeU,32544,19840111,Allen Iverson 24pts vs Sonics 52pts Blowout 168pts NBA 07/08,Allen Iverson,1980,32544,,,,0,19840111-Allen Iverson
-cFNDqLrf90,32172,19880517,Mark Eaton:  Dunk Vs Kareem Abdul-Jabbar,"Kareem Abdul-Jabbar,Mark Eaton",1980,32172,,,,0,19880517-Kareem Abdul-Jabbar
bGsQEB-rl9E,31942,19870328,"Michael Jordan 56pts, 8stl (3.24.1987)",Michael Jordan,1980,31942,,,,0,19870328-Michael Jordan
3ChmRhlFzk0,29846,19870201,Larry Bird (37 pts) vs. Jordan (34 pts) - 02/01/87,"Michael Jordan,Larry Bird",1980,29846,,,,0,19870201-Michael Jordan
e80M75Ne41k,29781,19881118,"Michael Jordan VS Dominique Wilkins 11.18.88. Wilkins 39 Points, MJ 34 Points","Michael Jordan,Dominique Wilkins",1980,29781,,,,0,19881118-Michael Jordan
xBzi6gftMMc,29735,19870604,Chick Hearn's call of Baby Hook (1 of 2),Chick Hearn,1980,29735,,,,0,19870604-Chick Hearn
hMG2Xo6RF1E,29567,19881128,"#TBT: Magic Johnson Goes for 32 Points, 20 Assists, 11 Rebounds",Magic Johnson,1980,29567,,,,0,19881128-Magic Johnson
qRI4Y3OdMgA,28567,19870412,"04.12.87 - Michael Jordan One Man Show 53 pts, %70 fg vs Pacers (Defensive Juggernaut)",Michael Jordan,1980,28567,,,,0,19870412-Michael Jordan
